# BLOQUES DE MATERIAS SIMULTÁNEAS
# Una asignación por línea: curso, tramo, etiqueta[, abreviatura del grupo]
# Días: L lunes, M martes, X miércoles, J jueves, V viernes.
# L1 = lunes a primera hora; L4 = lunes a cuarta hora (el recreo no cuenta).
# Cursos: 3ºESO, 4ºESO, 1ºBACH, 2ºBACH.
# Sin cuarta columna se aplica a todos los grupos y modalidades del curso.
# La cuarta columna usa la abreviatura del horario: 4A, 4CBi, 4CDiv, etc.
# Una asignación específica tiene prioridad sobre la del curso completo.
# La misma etiqueta vincula las sesiones de un bloque dentro del mismo horario.
# También se admiten etiquetas como Grupo 1 o Grupo 2.
# EJEMPLOS: quita # y ajusta los datos a la distribución oficial antes de usarlos.
4ºESO, L4, B1
  4ºESO, L5, B3
  4ºESO, M2, B2
  4ºESO, M3, B1
  4ºESO, X3, B2
  4ºESO, X4, B3
  4ºESO, X5, B1
  4ºESO, J2, B2
  4ºESO, J3, B3

  1º BACH, L2, G1
  1º BACH, L3, B2
  1º BACH, L4, B3
  1º BACH, L5, B1
  1º BACH, M1, B1
  1º BACH, M4, G2
  1º BACH, M5, B3
  1º BACH, M6, B2
  1º BACH, X2, B1
  1º BACH, X5, B3
  1º BACH, J1, B2
  1º BACH, J4, B1
  1º BACH, J5, G1
  1º BACH, V2, B2
  1º BACH, V3, G2
  1º BACH, V4, B3

  2º BACH, L1, G1
  2º BACH, L2, B3
  2º BACH, L3, B2
  2º BACH, M1, B3
  2º BACH, M2, B2
  2º BACH, M4, B1
  2º BACH, M5, G2
  2º BACH, X1, G1
  2º BACH, X5, B2
  2º BACH, X6, B1
  2º BACH, J4, B3
  2º BACH, J5, B1
  2º BACH, V1, B1
  2º BACH, V3, B3
  2º BACH, V4, G2
  2º BACH, V5, B2
